Price,Close,High,Low,Open,Volume
Ticker,ABNB,ABNB,ABNB,ABNB,ABNB
Date,,,,,
2025-04-01,121.18000030517578,121.3499984741211,117.80000305175781,119.66999816894531,3916400
2025-04-02,122.80000305175781,124.58999633789062,119.08000183105469,119.4800033569336,5184800
2025-04-03,113.97000122070312,117.18000030517578,111.80000305175781,116.62000274658203,7950600
2025-04-04,106.66000366210938,110.41999816894531,104.7300033569336,109.26000213623047,10259900
2025-04-07,106.30000305175781,110.91000366210938,99.87999725341797,103.01000213623047,9975600
2025-04-08,105.69000244140625,112.97000122070312,104.1500015258789,110.73999786376953,7661500
2025-04-09,121.31999969482422,123.29499816894531,105.38999938964844,105.7300033569336,12840700
2025-04-10,113.91000366210938,118.5,110.05999755859375,117.61000061035156,6929600
2025-04-11,114.54000091552734,115.43000030517578,111.58999633789062,113.87000274658203,4817300
2025-04-14,113.22000122070312,118.29000091552734,112.55000305175781,117.30000305175781,4338000
2025-04-15,114.63999938964844,115.70999908447266,113.5199966430664,114.2249984741211,5182400
2025-04-16,112.63999938964844,115.62000274658203,111.02999877929688,113.58000183105469,5026300
2025-04-17,112.69999694824219,114.0,111.86000061035156,113.75,4454600
2025-04-21,111.61000061035156,113.4000015258789,109.79000091552734,111.31999969482422,5695000
2025-04-22,114.91000366210938,115.80000305175781,112.05000305175781,112.58999633789062,4827200
2025-04-23,118.27999877929688,122.31999969482422,116.72000122070312,119.69999694824219,5183400
2025-04-24,121.70999908447266,121.88999938964844,118.0,118.86000061035156,3690300
2025-04-25,122.51000213623047,123.08999633789062,120.83000183105469,121.43000030517578,2905000
2025-04-28,123.30000305175781,125.2300033569336,122.11000061035156,122.51000213623047,5608800
2025-04-29,125.48999786376953,125.98999786376953,123.16000366210938,123.27999877929688,6525400
2025-04-30,121.91999816894531,122.25,118.05000305175781,121.05500030517578,7534200
