Price,Close,High,Low,Open,Volume
Ticker,ADP,ADP,ADP,ADP,ADP
Date,,,,,
2025-04-01,306.5400085449219,307.3800048828125,303.5899963378906,305.3800048828125,1199200
2025-04-02,307.2300109863281,307.9700012207031,303.75,304.92999267578125,1089300
2025-04-03,305.3900146484375,309.5,303.4800109863281,304.69000244140625,1998800
2025-04-04,286.1300048828125,306.0,285.8999938964844,305.5799865722656,3769200
2025-04-07,281.2200012207031,288.5299987792969,272.6199951171875,284.0899963378906,3541600
2025-04-08,276.760009765625,286.42999267578125,273.5400085449219,282.79998779296875,3130200
2025-04-09,294.69000244140625,295.69000244140625,273.80999755859375,275.1600036621094,3469500
2025-04-10,292.2099914550781,297.4700012207031,285.1400146484375,293.1400146484375,3284700
2025-04-11,299.5400085449219,301.3900146484375,290.29998779296875,292.2099914550781,2188000
2025-04-14,301.55999755859375,304.30999755859375,298.7200012207031,299.6499938964844,1806200
2025-04-15,298.05999755859375,303.2699890136719,297.79998779296875,301.55999755859375,1763300
2025-04-16,294.1400146484375,299.20001220703125,292.260009765625,297.9599914550781,1406500
2025-04-17,293.2799987792969,296.1000061035156,292.9599914550781,295.8800048828125,1667100
2025-04-21,284.8500061035156,293.239990234375,280.3399963378906,290.7699890136719,2315500
2025-04-22,292.8900146484375,295.510009765625,286.760009765625,288.32000732421875,1725200
2025-04-23,293.5400085449219,297.6000061035156,291.7300109863281,294.3500061035156,1636100
2025-04-24,294.54998779296875,294.8599853515625,288.9599914550781,293.0400085449219,1686300
2025-04-25,291.760009765625,294.20001220703125,288.75,293.0899963378906,1482000
2025-04-28,293.57000732421875,294.2099914550781,290.3999938964844,291.6499938964844,1669200
2025-04-29,295.7699890136719,296.0199890136719,292.3699951171875,292.3999938964844,1618300
2025-04-30,300.6000061035156,301.3599853515625,288.3399963378906,290.739990234375,3342000
