Price,Close,High,Low,Open,Volume
Ticker,CDNS,CDNS,CDNS,CDNS,CDNS
Date,,,,,
2025-04-01,258.7900085449219,259.4800109863281,251.82000732421875,252.63999938964844,1421500
2025-04-02,264.94000244140625,265.7300109863281,253.44000244140625,253.52000427246094,1859500
2025-04-03,248.91000366210938,255.19000244140625,245.4199981689453,252.33999633789062,2995200
2025-04-04,232.8800048828125,246.22000122070312,232.3699951171875,243.52999877929688,4203200
2025-04-07,233.82000732421875,245.66000366210938,221.55999755859375,229.64999389648438,4174300
2025-04-08,231.63999938964844,244.3000030517578,228.1999969482422,237.80999755859375,2654500
2025-04-09,264.6499938964844,266.6499938964844,229.60000610351562,230.6999969482422,4256800
2025-04-10,254.02000427246094,258.54998779296875,244.99000549316406,256.8800048828125,2603500
2025-04-11,259.4700012207031,260.4200134277344,248.5500030517578,253.52000427246094,1647500
2025-04-14,260.55999755859375,265.5899963378906,257.6499938964844,264.6000061035156,1453800
2025-04-15,264.30999755859375,266.0799865722656,260.79998779296875,262.0,1857200
2025-04-16,259.260009765625,262.0799865722656,254.47999572753906,256.510009765625,2170800
2025-04-17,260.2200012207031,263.1600036621094,257.8800048828125,262.7900085449219,1914600
2025-04-21,251.55999755859375,257.1600036621094,247.6999969482422,257.0199890136719,1494800
2025-04-22,258.1499938964844,260.6700134277344,251.9499969482422,255.22999572753906,1389100
2025-04-23,265.4200134277344,272.80999755859375,264.7900085449219,266.7799987792969,1708400
2025-04-24,281.7799987792969,283.0,270.0,270.30999755859375,2177700
2025-04-25,289.6300048828125,290.5,279.45001220703125,279.989990234375,2414000
2025-04-28,285.739990234375,289.4100036621094,281.70001220703125,288.0199890136719,3416100
2025-04-29,302.2200012207031,303.6000061035156,289.6400146484375,289.6400146484375,3815600
2025-04-30,297.739990234375,299.9800109863281,293.8500061035156,294.510009765625,2780600
