Price,Close,High,Low,Open,Volume
Ticker,COST,COST,COST,COST,COST
Date,,,,,
2025-04-01,953.1581420898438,956.4737684056159,937.5284817665149,941.19368922949,2041500
2025-04-02,963.82421875,969.6266561217084,948.7638243443803,949.6027581253766,1719900
2025-04-03,965.8215942382812,980.0729838036299,926.7924304239434,929.8684396097661,3096900
2025-04-04,915.2874145507812,963.2649417041237,912.9504936016563,953.7573100603053,5167000
2025-04-07,906.9483032226562,936.5996716304039,870.5757117146521,886.594817764898,4626600
2025-04-08,907.5675048828125,941.7629409259746,898.3994575126873,930.8371739722921,3545400
2025-04-09,963.93408203125,966.2011477773867,896.501920611262,906.8184961204144,5084500
2025-04-10,963.0552368164062,992.1173474968089,941.6631256007487,965.2423896253335,4209100
2025-04-11,962.1563720703125,968.9475725900814,941.9327216229024,962.7057051680413,2721800
2025-04-14,978.0457153320312,985.8455505154326,963.744341213021,968.7378352089435,2219900
2025-04-15,975.6488037109375,992.7065960916682,972.9822950123821,984.0678271860406,1788200
2025-04-16,966.49072265625,977.3765634962583,957.9917864762546,970.8650280909463,2531700
2025-04-17,993.2059326171875,998.6188629148758,970.7252134191085,972.0135738516706,2705500
2025-04-21,956.5237426757812,995.692679267624,941.7429520807791,991.7078809189641,2841300
2025-04-22,977.9557495117188,986.1650848670076,965.5219989398184,968.4881049444692,2230600
2025-04-23,974.5702514648438,994.4543175003907,967.7391249388688,993.2259374977901,2109700
2025-04-24,974.2106323242188,976.727372667602,959.4598933095979,972.3330738070493,2468500
2025-04-25,975.8884887695312,977.0470135082116,961.6271016583091,972.7026371717657,1780900
2025-04-28,977.2666625976562,984.0178759676994,967.5194139035585,977.2267365913236,1616200
2025-04-29,990.4096069335938,991.9176518665672,969.7964491808085,976.7274212545251,1523100
2025-04-30,993.2059326171875,996.4617003794889,975.2792773989127,988.711788125707,2212400
