Price,Close,High,Low,Open,Volume
Ticker,IDXX,IDXX,IDXX,IDXX,IDXX
Date,,,,,
2025-04-01,418.57000732421875,427.0899963378906,415.04998779296875,417.4700012207031,518200
2025-04-02,426.25,427.2099914550781,413.04998779296875,414.3500061035156,532500
2025-04-03,410.760009765625,417.92999267578125,407.07000732421875,417.4100036621094,948400
2025-04-04,393.7300109863281,405.80999755859375,393.5,404.4800109863281,1635600
2025-04-07,378.989990234375,395.6499938964844,366.5,377.25,1818000
2025-04-08,361.0400085449219,388.8500061035156,357.80999755859375,385.19000244140625,1489600
2025-04-09,397.1000061035156,398.7300109863281,356.1400146484375,356.9800109863281,2190300
2025-04-10,381.8299865722656,397.0799865722656,372.32000732421875,394.1499938964844,1274300
2025-04-11,390.94000244140625,392.5799865722656,375.05999755859375,381.489990234375,1329100
2025-04-14,404.6499938964844,405.2699890136719,391.04998779296875,394.0,926700
2025-04-15,404.0199890136719,407.1499938964844,399.260009765625,404.8900146484375,985100
2025-04-16,402.3800048828125,408.42999267578125,398.75,400.70001220703125,867600
2025-04-17,411.489990234375,412.6199951171875,402.8599853515625,405.45001220703125,965500
2025-04-21,406.6499938964844,412.30999755859375,402.8500061035156,409.4700012207031,872900
2025-04-22,421.5899963378906,423.44000244140625,409.1099853515625,410.5299987792969,949700
2025-04-23,426.6300048828125,441.0799865722656,426.0199890136719,429.2099914550781,1091400
2025-04-24,440.9800109863281,441.8699951171875,424.4800109863281,429.0299987792969,746800
2025-04-25,437.44000244140625,440.5,432.0799865722656,438.6300048828125,939300
2025-04-28,433.989990234375,440.260009765625,427.70001220703125,435.5299987792969,909600
2025-04-29,436.9700012207031,439.010009765625,429.1099853515625,433.69000244140625,718300
2025-04-30,432.6499938964844,440.0,428.0899963378906,436.3800048828125,1400300
