Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2025-04-01,586.0,589.9099731445312,570.0,570.8400268554688,12836600
2025-04-02,583.9299926757812,592.6599731445312,573.3599853515625,574.9099731445312,13470800
2025-04-03,531.6199951171875,552.5599975585938,530.2999877929688,546.219970703125,34777500
2025-04-04,504.7300109863281,518.0,494.20001220703125,506.6199951171875,38589800
2025-04-07,516.25,539.3699951171875,481.8999938964844,485.1000061035156,36606100
2025-04-08,510.45001220703125,547.4299926757812,502.8599853515625,543.25,28034200
2025-04-09,585.77001953125,587.8900146484375,502.1099853515625,509.2699890136719,39216600
2025-04-10,546.2899780273438,581.2999877929688,535.2999877929688,575.489990234375,28173500
2025-04-11,543.5700073242188,547.4000244140625,528.5900268554688,535.510009765625,17642300
2025-04-14,531.47998046875,557.77001953125,528.280029296875,556.1699829101562,14130900
2025-04-15,521.52001953125,537.9400024414062,517.5,532.1099853515625,15558700
2025-04-16,502.30999755859375,513.3699951171875,495.6300048828125,508.510009765625,18735100
2025-04-17,501.4800109863281,507.29998779296875,498.010009765625,505.25,14593500
2025-04-21,484.6600036621094,493.5,479.79998779296875,491.3299865722656,16166000
2025-04-22,500.2799987792969,506.8800048828125,486.3599853515625,491.8699951171875,17399400
2025-04-23,520.27001953125,535.3400268554688,516.52001953125,528.530029296875,18173900
2025-04-24,533.1500244140625,533.9000244140625,517.5,518.72998046875,13910000
2025-04-25,547.27001953125,549.8599853515625,536.25,546.7999877929688,17098900
2025-04-28,549.739990234375,558.489990234375,540.5900268554688,555.6400146484375,15179000
2025-04-29,554.4400024414062,556.5700073242188,544.1199951171875,546.0,11835000
2025-04-30,549.0,549.0999755859375,529.5,538.4000244140625,29244000
