Price,Close,High,Low,Open,Volume
Ticker,QCOM,QCOM,QCOM,QCOM,QCOM
Date,,,,,
2025-04-01,153.0500030517578,153.32000732421875,150.25999450683594,152.38999938964844,5708900
2025-04-02,154.0800018310547,155.4600067138672,150.3699951171875,150.7899932861328,5377200
2025-04-03,139.4199981689453,147.39999389648438,138.55999755859375,147.0,16465000
2025-04-04,127.45999908447266,135.86000061035156,126.68000030517578,134.33999633789062,19018600
2025-04-07,129.72000122070312,137.1999969482422,120.80000305175781,124.58999633789062,17938300
2025-04-08,124.66000366210938,135.2899932861328,121.73999786376953,131.1300048828125,14965900
2025-04-09,143.58999633789062,144.86000061035156,124.19000244140625,125.16000366210938,21242600
2025-04-10,134.39999389648438,139.05999755859375,129.2899932861328,137.00999450683594,14898800
2025-04-11,139.25,140.64999389648438,131.11000061035156,134.0,10955300
2025-04-14,139.19000244140625,143.11000061035156,136.8300018310547,142.75,6930300
2025-04-15,138.60000610351562,140.83999633789062,138.02999877929688,139.4600067138672,6346800
2025-04-16,135.74000549316406,137.30999755859375,131.7899932861328,133.67999267578125,10417200
2025-04-17,136.66000366210938,138.14999389648438,135.7100067138672,137.3800048828125,7093100
2025-04-21,136.13999938964844,136.5500030517578,133.36000061035156,134.72999572753906,8128300
2025-04-22,138.74000549316406,139.10000610351562,136.49000549316406,136.75,8228000
2025-04-23,140.4600067138672,143.8800048828125,139.77999877929688,142.5800018310547,9073500
2025-04-24,147.2100067138672,147.82000732421875,141.99000549316406,142.77999877929688,8810600
2025-04-25,148.55999755859375,149.1999969482422,146.0800018310547,146.0800018310547,5145600
2025-04-28,147.6199951171875,149.3000030517578,145.44000244140625,148.17999267578125,5743500
2025-04-29,146.8800048828125,148.25999450683594,145.52000427246094,146.66000366210938,6692000
2025-04-30,148.4600067138672,148.85000610351562,143.8800048828125,145.1999969482422,10851900
