Price,Close,High,Low,Open,Volume
Ticker,ROST,ROST,ROST,ROST,ROST
Date,,,,,
2025-04-01,129.11000061035156,129.64999389648438,127.80999755859375,127.87999725341797,1904200
2025-04-02,132.3699951171875,133.08999633789062,127.68000030517578,127.69999694824219,2137400
2025-04-03,131.2100067138672,133.85000610351562,128.58999633789062,129.86000061035156,4055400
2025-04-04,130.30999755859375,136.4199981689453,129.58999633789062,131.39999389648438,5570300
2025-04-07,127.87999725341797,132.6199951171875,124.36000061035156,128.8699951171875,4744800
2025-04-08,126.9000015258789,133.5399932861328,125.2699966430664,130.9499969482422,3702000
2025-04-09,137.0,139.2899932861328,126.0,126.54000091552734,7302100
2025-04-10,138.88999938964844,140.17999267578125,134.52999877929688,136.0500030517578,4736500
2025-04-11,141.50999450683594,142.47000122070312,137.66000366210938,138.82000732421875,4388900
2025-04-14,143.66000366210938,144.30999755859375,141.88999938964844,142.41000366210938,2995600
2025-04-15,141.02999877929688,144.13999938964844,140.6699981689453,143.22000122070312,2570100
2025-04-16,138.67999267578125,142.25999450683594,137.72999572753906,141.75,2512500
2025-04-17,139.6300048828125,140.4600067138672,138.22000122070312,139.41000366210938,2287600
2025-04-21,135.49000549316406,139.13999938964844,133.6999969482422,139.13999938964844,3161100
2025-04-22,137.88999938964844,138.72999572753906,136.2100067138672,136.5,2523400
2025-04-23,138.22000122070312,141.6699981689453,137.7100067138672,140.61000061035156,2294500
2025-04-24,139.92999267578125,140.33999633789062,135.77000427246094,137.08999633789062,2484900
2025-04-25,139.7100067138672,142.6300048828125,138.58999633789062,140.4600067138672,2289800
2025-04-28,139.3699951171875,142.0,138.7899932861328,139.9199981689453,2515800
2025-04-29,140.77999877929688,141.17999267578125,138.75,138.7899932861328,2165900
2025-04-30,139.0,139.57000732421875,137.25,138.8699951171875,4037300
