Price,Close,High,Low,Open,Volume
Ticker,SNPS,SNPS,SNPS,SNPS,SNPS
Date,,,,,
2025-04-01,435.94000244140625,436.7200012207031,423.1700134277344,430.1099853515625,985800
2025-04-02,438.54998779296875,443.6199951171875,425.0,426.1600036621094,1111200
2025-04-03,417.760009765625,421.1300048828125,404.0799865722656,417.67999267578125,2133600
2025-04-04,388.1300048828125,408.94000244140625,387.4100036621094,403.0,2513200
2025-04-07,380.8999938964844,402.0,365.739990234375,375.9599914550781,3060100
2025-04-08,381.5899963378906,403.19000244140625,376.2300109863281,391.3900146484375,2191500
2025-04-09,428.70001220703125,432.5400085449219,375.9700012207031,380.8800048828125,2146100
2025-04-10,406.8900146484375,417.7300109863281,391.6099853515625,415.32000732421875,1537600
2025-04-11,421.2099914550781,425.7099914550781,402.8299865722656,407.07000732421875,1745600
2025-04-14,421.9800109863281,430.54998779296875,416.0,428.8999938964844,1119500
2025-04-15,425.6499938964844,430.32000732421875,422.2300109863281,423.0899963378906,1016100
2025-04-16,415.6499938964844,423.55999755859375,408.6199951171875,416.19000244140625,1064000
2025-04-17,413.32000732421875,421.7799987792969,412.1000061035156,421.3800048828125,1002400
2025-04-21,402.3599853515625,407.2900085449219,396.0299987792969,406.260009765625,901400
2025-04-22,413.3999938964844,417.1600036621094,402.8599853515625,407.69000244140625,946500
2025-04-23,422.2300109863281,441.3800048828125,420.1700134277344,432.3399963378906,1008100
2025-04-24,438.8999938964844,440.19000244140625,423.0,426.1600036621094,1093000
2025-04-25,446.6199951171875,447.30999755859375,433.30999755859375,435.6400146484375,1032100
2025-04-28,443.9700012207031,447.4599914550781,436.8800048828125,444.3900146484375,1117100
2025-04-29,460.7699890136719,462.42999267578125,444.239990234375,445.8299865722656,1415400
2025-04-30,459.010009765625,460.7099914550781,448.6499938964844,449.6700134277344,1338900
