Price,Close,High,Low,Open,Volume
Ticker,ZS,ZS,ZS,ZS,ZS
Date,,,,,
2025-04-01,201.07000732421875,201.6699981689453,195.7169952392578,200.0,1911000
2025-04-02,207.0399932861328,208.16000366210938,198.0,198.0399932861328,1717400
2025-04-03,192.2100067138672,202.82000732421875,188.66000366210938,202.82000732421875,3898100
2025-04-04,174.6699981689453,186.33999633789062,172.85000610351562,184.57000732421875,5710500
2025-04-07,180.05499267578125,186.23500061035156,164.77999877929688,166.8800048828125,5738300
2025-04-08,177.0399932861328,189.21499633789062,174.7899932861328,186.5800018310547,2975300
2025-04-09,202.1199951171875,203.16000366210938,177.27499389648438,177.75,4509500
2025-04-10,195.36000061035156,198.8300018310547,189.26800537109375,195.6300048828125,3911100
2025-04-11,198.0800018310547,199.13999938964844,190.75999450683594,195.1750030517578,2313800
2025-04-14,199.44000244140625,202.47500610351562,196.2899932861328,202.0,1745900
2025-04-15,204.63999938964844,205.0,199.27499389648438,199.67999267578125,1771200
2025-04-16,202.8699951171875,206.7949981689453,199.39999389648438,203.1199951171875,1664800
2025-04-17,201.08999633789062,203.0,199.10000610351562,202.8699951171875,1785100
2025-04-21,193.6999969482422,199.2899932861328,191.4600067138672,198.8800048828125,1581700
2025-04-22,196.52000427246094,198.6929931640625,194.35000610351562,196.9499969482422,1445700
2025-04-23,200.58999633789062,207.22999572753906,199.52999877929688,202.0,2186000
2025-04-24,210.13999938964844,212.35499572753906,201.69700622558594,202.24000549316406,2642900
2025-04-25,215.5800018310547,217.14999389648438,209.375,209.89999389648438,2885000
2025-04-28,219.86000061035156,221.5,216.42999267578125,219.33999633789062,2910800
2025-04-29,223.85000610351562,224.6999969482422,219.8800048828125,220.74000549316406,2386600
2025-04-30,226.1699981689453,226.60000610351562,217.75999450683594,218.9199981689453,2247000
